Depreciated Codes
aam adp agp ais aju als aoh arb asd aue ayr ayx~y azj
baz bbz bcc bcl bgm bh bhk bic bij bjd bjq bkb blg bmy bpb btb btl bxk bxr bxx byy
cbe cbh cca ccq cdg cjr cka cld cmk cmn cnr coy cqu cum cwd
daf dap dgo dgu dha dhd dik diq dit djl dkl drh drr drw dud duj dwl dzd
ekc ekk elp emk emo esk
fat fuc
gav gaz gbc gbo gfx ggn~o ggr gio gji gli gno gti gug guv gya
hdn hea him hrr
iap ibi ike ill ilw ime in iw izi
jar jeg ji jw
kbf kdv kgc~d kgh khk kjf kmr knc kng knn koj kox kpp kpv krm ktr kvs kwq kxe kxl kxu kzh kzj kzt
lba lbk leg lii llo lmm lmz lsg lvs
meg mgx mhh mhr mja mld mnk mnt mo mof mst mup mvm mwd mwj mwx~y myd myi myq myt
nad nbf nbx ncp ngo nln nlr nns nnx noo npi nts nxu
ojg ome ory oun
pat pbu pbz pcr pes pgy plp plt pmc pmu pnb pod ppa ppr prb prs pry puk puz
quz
rie rmr rmy rna rsi
sap sca sdm sgl sgo sh skk snh spy src sul~m svr swc swh
tbb tdu tgg thc thw~x tid~e tkk tl tlw tmp tne~f toe tsf ttq tw
umu unp uok uzn
vki
wgw wit wiw wra
xba xbx xia xip xkh xpe xrq xsj xsl xtz
ybd ydd yds yen yiy yma ymt ynh yos yri yuu
zai zir zsm zyb
