Language,Language (English name),languageHints code,Script / notes,Mapped to,macroarea
ирон ӕвзаг,Ossetic,os,Cyrl,Cyrillic script model,Eurasia
Kapampangan,Pampanga,pam,Latn,Latin script model,
Salitan Pangasinan,Pangasinan,pag,Latn,Latin script model,Papunesia
Papiamentu,Papiamento,pap,Latn,Latin script model,
Português (Portugal),Portuguese,pt-PT,Latn; European,pt,Eurasia
Kechua / Runa Simi,Quechua,qu,Latn,Latin script model,
Rumantsch,Romansh,rm,Latn,Latin script model,
Romani čhib,Romany,rom,Latn,Latin script model,
Ikirundi,Rundi,rn,Latn,Latin script model,Africa
Sakha,Sakha,sah,Cyrl,Cyrillic script model,
Gagana faʻa Sāmoa,Samoan,sm,Latn,Latin script model,Papunesia
yângâ tî sängö,Sango,sg,Latn,Latin script model,Africa
"(Braid) Scots, Lallans, Doric",Scots,sco,Latn,Latin script model,
Gàidhlig,Scottish Gaelic,gd,Latn,Latin script model,
chiShona,Shona,sn,Latn,Latin script model,Africa
Songhay,Songhai,son,Latn,Latin script model,
Sesotho,Southern Sotho,st,Latn,Latin script model,
Español (Latinoamérica),Spanish,es-419,Latn; Latin American,es,Eurasia
"ᮘᮞ ᮞᮥᮔ᮪ᮓ , Basa Sunda",Sundanese,su,Latn,Latin script model,Papunesia
siSwati,Swati,ss,Latn,Latin script model,Africa
Reo Tahiti,Tahitian,ty,Latn,Latin script model,Papunesia
тоҷикӣ,Tajik,tg,Cyrl,Cyrillic script model,Eurasia
татар теле,Tatar,tt,Cyrl/Latn,Cyrillic script model,Eurasia
KʌThemnɛ,Temne,tem,Latn,Latin script model,Africa
lea faka-Tonga,Tongan,to,Latn,Latin script model,Papunesia
Xitsonga,Tsonga,ts,Latn,Latin script model,Africa
Setswana,Tswana,tn,Latn,Latin script model,Africa
Türkmençe,Turkmen,tk,Latn,Cyrillic script model,Eurasia
удмурт кыл,Udmurt,udm,Cyrl,Cyrillic script model,Eurasia
Tshivenḓa,Venda,ve,Latn,Latin script model,Africa
Vod,Votic,vot,Cyrl/Latn,Cyrillic script model,Eurasia
Frysk,Western Frisian,fy,Latn,Latin script model,
Wolof,Wolof,wo,Latn,Latin script model,Africa
isiXhosa,Xhosa,xh,Latn,Latin script model,Africa
Èdè Yorùbá,Yoruba,yo,Latn,Latin script model,Africa
Diidxazá,Zapotec,zap,Latn,Latin script model,
